chromosome,read interval,reads,length of read,result,status
chr1,"(4687248, 4687263)",1,15,['MinDist3:5619'],['F3']
chr1,"(4687497, 4687507)",2,10,['MinDist3:5868'],['F3']
chr1,"(4687572, 4687583)",1,11,['MinDist3:5943'],['F3']
chr1,"(4687664, 4687688)",2,24,['MinDist3:6035'],['F3']
chr1,"(4688492, 4688506)",1,14,['MinDist3:6863'],['F3']
chr1,"(4688931, 4688943)",4,12,['MinDist3:7302'],['F3']
chr1,"(4689017, 4689027)",1,10,['MinDist3:7388'],['F3']
chr1,"(4689019, 4689033)",1,14,['MinDist3:7390'],['F3']
chr1,"(4689845, 4689862)",1,17,['MinDist3:8216'],['F3']
chr1,"(4690269, 4690279)",1,10,['MinDist3:8640'],['F3']
chr1,"(4690640, 4690651)",1,11,['MinDist3:9011'],['F3']
chr1,"(4691213, 4691223)",1,10,['MinDist3:9584'],['F3']
chr1,"(4691249, 4691260)",1,11,['MinDist3:9620'],['F3']
chr1,"(4691650, 4691669)",2,19,['MinDist3:10021'],['F3']
chr1,"(4693857, 4693884)",1,27,['MinDist3:12228'],['F3']
chr1,"(4693874, 4693886)",1,12,['MinDist3:12245'],['F3']
chr1,"(4693884, 4693899)",3,15,['MinDist3:12255'],['F3']
chr1,"(4693929, 4693945)",25,16,['MinDist3:12300'],['F3']
chr1,"(4693929, 4693948)",1,19,['MinDist3:12300'],['F3']
chr1,"(4693929, 4693946)",1,17,['MinDist3:12300'],['F3']
chr1,"(4695437, 4695450)",2,13,['MinDist3:13808'],['F3']
chr1,"(4696010, 4696020)",1,10,['MinDist3:14381'],['F3']
chr1,"(4696589, 4696599)",1,10,['MinDist3:14960'],['F3']
chr1,"(4697492, 4697505)",1,13,['MinDist3:15863'],['F3']
chr1,"(4698020, 4698034)",3,14,['MinDist3:16391'],['F3']
chr1,"(4699349, 4699359)",1,10,['MinDist3:17720'],['F3']
chr1,"(4701317, 4701329)",1,12,['MinDist3:19688'],['F3']
chr1,"(4701574, 4701600)",1,26,['MinDist3:19945'],['F3']
chr1,"(4701893, 4701904)",2,11,['MinDist3:20264'],['F3']
chr1,"(4703143, 4703154)",1,11,['MinDist3:21514'],['F3']
chr1,"(4704343, 4704353)",1,10,['MinDist3:22714'],['F3']
chr1,"(4704935, 4704949)",1,14,['MinDist3:23306'],['F3']
chr1,"(4707930, 4707941)",2,11,['MinDist3:26301'],['F3']
chr1,"(4708419, 4708430)",1,11,['MinDist3:26790'],['F3']
chr1,"(4708556, 4708567)",1,11,['MinDist3:26927'],['F3']
chr1,"(4709617, 4709626)",1,9,['MinDist3:27988'],['F3']
chr1,"(4710738, 4710750)",1,12,['MinDist3:29109'],['F3']
chr1,"(4710908, 4710919)",1,11,['MinDist3:29279'],['F3']
chr1,"(4711052, 4711064)",1,12,['MinDist3:29423'],['F3']
chr1,"(4711265, 4711276)",2,11,['MinDist3:29636'],['F3']
chr1,"(4711342, 4711351)",1,9,['MinDist3:29713'],['F3']
chr1,"(4711400, 4711410)",1,10,['MinDist3:29771'],['F3']
chr1,"(4711913, 4711925)",1,12,['MinDist3:30284'],['F3']
chr1,"(4712102, 4712113)",1,11,['MinDist3:30473'],['F3']
chr1,"(4712230, 4712244)",2,14,['MinDist3:30601'],['F3']
chr1,"(4712274, 4712286)",2,12,['MinDist3:30645'],['F3']
chr1,"(4712400, 4712410)",1,10,['MinDist3:30771'],['F3']
chr1,"(4712536, 4712548)",1,12,['MinDist3:30907'],['F3']
chr1,"(4713116, 4713129)",1,13,['MinDist3:31487'],['F3']
chr1,"(4713883, 4713906)",1,23,['MinDist3:32254'],['F3']
chr1,"(4714078, 4714089)",1,11,['MinDist3:32449'],['F3']
chr1,"(4714260, 4714273)",2,13,['MinDist3:32631'],['F3']
chr1,"(4714333, 4714356)",1,23,['MinDist3:32704'],['F3']
chr1,"(4714397, 4714407)",2,10,['MinDist3:32768'],['F3']
chr1,"(4714555, 4714567)",1,12,['MinDist3:32926'],['F3']
chr1,"(4714985, 4714997)",1,12,['MinDist3:33356'],['F3']
chr1,"(4715037, 4715052)",1,15,['MinDist3:33408'],['F3']
chr1,"(4716704, 4716716)",1,12,['MinDist3:35075'],['F3']
chr1,"(4717162, 4717172)",1,10,['MinDist3:35533'],['F3']
chr1,"(4717719, 4717733)",1,14,['MinDist3:36090'],['F3']
chr1,"(4718258, 4718281)",2,23,['MinDist3:36629'],['F3']
chr1,"(4719218, 4719228)",1,10,['MinDist3:37589'],['F3']
chr1,"(4719676, 4719687)",1,11,['MinDist3:38047'],['F3']
chr1,"(4720829, 4720840)",1,11,['MinDist3:39200'],['F3']
chr1,"(4721120, 4721131)",2,11,['MinDist3:39491'],['F3']
chr1,"(4721576, 4721587)",1,11,['MinDist3:39947'],['F3']
chr1,"(4722284, 4722301)",1,17,['MinDist3:40655'],['F3']
chr1,"(4722462, 4722476)",2,14,['MinDist3:40833'],['F3']
chr1,"(4722989, 4723001)",7,12,['MinDist3:41360'],['F3']
chr1,"(4723074, 4723086)",1,12,['MinDist3:41445'],['F3']
chr1,"(4723815, 4723828)",1,13,['MinDist3:42186'],['F3']
chr1,"(4724820, 4724832)",1,12,['MinDist3:43191'],['F3']
chr1,"(4725095, 4725107)",1,12,['MinDist3:43466'],['F3']
chr1,"(4727423, 4727436)",10,13,['MinDist3:45794'],['F3']
chr1,"(4727494, 4727507)",1,13,['MinDist3:45865'],['F3']
chr1,"(4727637, 4727649)",1,12,['MinDist3:46008'],['F3']
chr1,"(4728015, 4728027)",1,12,['MinDist3:46386'],['F3']
chr1,"(4728683, 4728695)",1,12,['MinDist3:47054'],['F3']
chr1,"(4728812, 4728827)",13,15,['MinDist3:47183'],['F3']
chr1,"(4729790, 4729811)",1,21,['MinDist3:48161'],['F3']
chr1,"(4731380, 4731392)",1,12,['MinDist3:49751'],['F3']
chr1,"(4731437, 4731450)",1,13,['MinDist3:49808'],['F3']
chr1,"(4731783, 4731795)",1,12,['MinDist3:50154'],['F3']
chr1,"(4732158, 4732168)",2,10,['MinDist3:50529'],['F3']
chr1,"(4733019, 4733030)",1,11,['MinDist3:51390'],['F3']
chr1,"(4734050, 4734061)",2,11,['MinDist3:52421'],['F3']
chr1,"(4734578, 4734590)",2,12,['MinDist3:52949'],['F3']
chr1,"(4735398, 4735408)",1,10,['MinDist3:53769'],['F3']
chr1,"(4735816, 4735829)",1,13,['MinDist3:54187'],['F3']
chr1,"(4736010, 4736020)",2,10,['MinDist3:54381'],['F3']
chr1,"(4736698, 4736713)",1,15,['MinDist3:55069'],['F3']
chr1,"(4737215, 4737230)",1,15,['MinDist3:55586'],['F3']
chr1,"(4737635, 4737650)",1,15,['MinDist3:56006'],['F3']
chr1,"(4738084, 4738095)",1,11,['MinDist3:56455'],['F3']
chr1,"(4738199, 4738210)",1,11,['MinDist3:56570'],['F3']
chr1,"(4739217, 4739228)",1,11,['MinDist3:57588'],['F3']
chr1,"(4739359, 4739370)",1,11,['MinDist3:57730'],['F3']
chr1,"(4739671, 4739682)",1,11,['MinDist3:58042'],['F3']
chr1,"(4740515, 4740527)",1,12,['MinDist3:58886'],['F3']
chr1,"(4741713, 4741724)",1,11,['MinDist3:60084'],['F3']
chr1,"(4742126, 4742138)",2,12,['MinDist3:60497'],['F3']
chr1,"(4742465, 4742480)",1,15,['MinDist3:60836'],['F3']
chr1,"(4744348, 4744360)",1,12,['MinDist3:62719'],['F3']
chr1,"(4744999, 4745027)",1,28,['MinDist3:63370'],['F3']
chr1,"(4745210, 4745220)",1,10,['MinDist3:63581'],['F3']
chr1,"(4745476, 4745490)",2,14,['MinDist3:63847'],['F3']
chr1,"(4745656, 4745666)",1,10,['MinDist3:64027'],['F3']
chr1,"(4745938, 4745952)",1,14,['MinDist3:64309'],['F3']
chr1,"(4746270, 4746281)",1,11,['MinDist3:64641'],['F3']
