chromosome,read interval,reads,length of read,result,status
chr1,"(10179926, 10179938)",1,12,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10180263, 10180274)",1,11,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10180515, 10180525)",1,10,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10180536, 10180549)",1,13,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10180567, 10180577)",1,10,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10180736, 10180748)",1,12,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10181365, 10181374)",1,9,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10181367, 10181378)",1,11,"[['Cspp1-201', 18, 19.0]]",['U']
chr1,"(10182863, 10182874)",1,11,"[['Cspp1-201', 19, 20.0]]",['U']
chr1,"(10183125, 10183153)",1,28,"[['Cspp1-201', 20, 21.0]]",['A']
chr1,"(10184495, 10184506)",1,11,"[['Cspp1-201', 21, 22.0]]",['U']
chr1,"(10184743, 10184767)",1,24,"[['Cspp1-201', 21, 22.0]]",['U']
chr1,"(10184866, 10184878)",1,12,"[['Cspp1-201', 21, 22.0]]",['U']
chr1,"(10186672, 10186682)",1,10,"[['Cspp1-201', 22, 23.0]]",['U']
chr1,"(10186945, 10196575)",1,9630,"[['Cspp1-201', 24, 25.0]]",['U']
chr1,"(10187338, 10187349)",1,11,"[['Cspp1-201', 23, 24.0]]",['U']
chr1,"(10187883, 10349721)",1,161838,[],['S']
chr1,"(10188609, 10188620)",1,11,"[['Cspp1-201', 23, 24.0]]",['U']
chr1,"(10192254, 10192264)",1,10,"[['Cspp1-201', 23, 24.0]]",['U']
chr1,"(10193218, 10193229)",1,11,"[['Cspp1-201', 23, 24.0]]",['U']
chr1,"(10193393, 10193421)",1,28,"[['Cspp1-201', 23, 24.0]]",['U']
chr1,"(10195278, 10195289)",1,11,"[['Cspp1-201', 23, 24.0]]",['U']
chr1,"(10197215, 10197227)",1,12,"[['Cspp1-201', 24, 25.0]]",['U']
chr1,"(10198184, 10198207)",1,23,"[['Cspp1-201', 25, 26.0]]",['U']
chr1,"(10199497, 10199517)",2,20,"[['Cspp1-201', 25, 26.0]]",['U']
chr1,"(10199503, 10199517)",2,14,"[['Cspp1-201', 25, 26.0]]",['U']
chr1,"(10199827, 10199838)",1,11,"[['Cspp1-201', 25, 26.0]]",['U']
chr1,"(10200448, 10200459)",1,11,"[['Cspp1-201', 26, 27.0]]",['U']
chr1,"(10201098, 10201112)",1,14,"[['Cspp1-201', 26, 27.0]]",['U']
chr1,"(10201317, 10201329)",1,12,"[['Cspp1-201', 26, 27.0]]",['U']
chr1,"(10202473, 10202488)",1,15,"[['Cspp1-201', 26, 27.0]]",['U']
chr1,"(10202510, 10202522)",1,12,"[['Cspp1-201', 26, 27.0]]",['U']
chr1,"(10204372, 10204395)",1,23,"[['Cspp1-201', 29, 30.0]]",['A']
chr1,"(10205626, 10205636)",2,10,"[['Cspp1-201', 29, 30.0]]",['U']
chr1,"(10206406, 10206417)",3,11,['MinDist5:30346'],['F5']
chr1,"(10206449, 10206476)",2,27,['MinDist5:30287'],['F5']
chr1,"(10207700, 10207717)",1,17,['MinDist3:707'],['F3']
chr1,"(10208384, 10208411)",2,27,['MinDist3:1391'],['F3']
chr1,"(10210136, 10210146)",1,10,['MinDist3:3143'],['F3']
chr1,"(10211585, 10211597)",1,12,['MinDist3:4592'],['F3']
chr1,"(10212897, 10212908)",1,11,['MinDist3:5904'],['F3']
chr1,"(10213125, 10213135)",1,10,['MinDist3:6132'],['F3']
chr1,"(10214135, 10214159)",1,24,['MinDist3:7142'],['F3']
chr1,"(10214892, 10214902)",1,10,['MinDist3:7899'],['F3']
chr1,"(10216455, 10216466)",1,11,['MinDist3:9462'],['F3']
chr1,"(10218117, 10218131)",2,14,['MinDist3:11124'],['F3']
chr1,"(10218912, 10218925)",1,13,['MinDist3:11919'],['F3']
chr1,"(10218988, 10219000)",1,12,['MinDist3:11995'],['F3']
chr1,"(10219207, 10219218)",1,11,['MinDist3:12214'],['F3']
chr1,"(10219517, 10219527)",1,10,['MinDist3:12524'],['F3']
chr1,"(10219709, 10219737)",1,28,['MinDist3:12716'],['F3']
chr1,"(10220819, 10220832)",1,13,['MinDist3:13826'],['F3']
chr1,"(10221123, 10221149)",1,26,['MinDist3:14130'],['F3']
chr1,"(10221664, 10221678)",1,14,['MinDist3:14671'],['F3']
chr1,"(10221917, 10221945)",6,28,['MinDist5:14818'],['F5']
chr1,"(10221938, 10221955)",1,17,['MinDist5:14808'],['F5']
chr1,"(10222111, 10222133)",1,22,['MinDist5:14630'],['F5']
chr1,"(10222117, 10222133)",1,16,['MinDist5:14630'],['F5']
chr1,"(10222243, 10222254)",1,11,['MinDist5:14509'],['F5']
chr1,"(10222564, 10222574)",1,10,['MinDist5:14189'],['F5']
chr1,"(10223712, 10223724)",1,12,['MinDist5:13039'],['F5']
chr1,"(10224176, 10224189)",1,13,['MinDist5:12574'],['F5']
chr1,"(10224992, 10225020)",1,28,['MinDist5:11743'],['F5']
chr1,"(10225482, 10225492)",2,10,['MinDist5:11271'],['F5']
chr1,"(10225649, 10225673)",1,24,['MinDist5:11090'],['F5']
chr1,"(10227077, 10227088)",1,11,['MinDist5:9675'],['F5']
chr1,"(10227163, 10227186)",1,23,['MinDist5:9577'],['F5']
chr1,"(10227192, 10227202)",2,10,['MinDist5:9561'],['F5']
chr1,"(10228572, 10228593)",1,21,['MinDist5:8170'],['F5']
chr1,"(10228788, 10228798)",1,10,['MinDist5:7965'],['F5']
chr1,"(10229803, 10229828)",1,25,['MinDist5:6935'],['F5']
chr1,"(10229831, 10229842)",1,11,['MinDist5:6921'],['F5']
chr1,"(10230065, 10230077)",1,12,['MinDist5:6686'],['F5']
chr1,"(10231048, 10231063)",2,15,['MinDist5:5700'],['F5']
chr1,"(10231622, 10231636)",1,14,['MinDist5:5127'],['F5']
chr1,"(10231732, 10231744)",1,12,['MinDist5:5019'],['F5']
chr1,"(10232180, 10232204)",1,24,['MinDist5:4559'],['F5']
chr1,"(10232246, 10232257)",1,11,['MinDist5:4506'],['F5']
chr1,"(10233885, 10233898)",1,13,['MinDist5:2865'],['F5']
chr1,"(10234293, 10234304)",2,11,['MinDist5:2459'],['F5']
chr1,"(10237325, 10237337)",1,12,['MinDist3:322'],['3T']
chr1,"(10237533, 10237561)",1,28,['MinDist3:530'],['F3']
chr1,"(10237569, 10237589)",1,20,['MinDist3:566'],['F3']
chr1,"(10238310, 10238321)",1,11,['MinDist3:1307'],['F3']
chr1,"(10238396, 10238414)",1,18,['MinDist3:1393'],['F3']
chr1,"(10239702, 10239713)",1,11,['MinDist3:2699'],['F3']
chr1,"(10240100, 10240110)",2,10,['MinDist3:3097'],['F3']
chr1,"(10240349, 10240359)",1,10,['MinDist3:3346'],['F3']
chr1,"(10240523, 10240537)",1,14,['MinDist3:3520'],['F3']
chr1,"(10240704, 10240730)",1,26,['MinDist3:3701'],['F3']
chr1,"(10240758, 10240769)",1,11,['MinDist3:3755'],['F3']
chr1,"(10241175, 10241203)",2,28,['MinDist3:4172'],['F3']
chr1,"(10241380, 10241391)",1,11,['MinDist3:4377'],['F3']
